"caso","patron_de_fallo","peticion","estado_http","respuesta_json","veredicto","Bi_inyeccion","latencia_notificacion_s","error_conexion"
"1","JSON malformado","POST http://localhost:8080/api/v1/auth/login","500","SI","NO_EVITADO","12:23:54.209","0.242",
"2","Violacion de validacion","POST http://localhost:8080/api/v1/auth/login","400","SI","EVITADO","12:23:54.524","0.094",
"3","Credenciales incorrectas","POST http://localhost:8080/api/v1/auth/login","401","SI","EVITADO","12:23:54.623","0.408",
"4","Recurso inexistente","GET http://localhost:8080/api/v1/restaurants/2e797c6b-77ba-405d-b456-d1931b15d603","404","SI","EVITADO","12:23:55.034","0.035",
"5","Identificador con tipo invalido","GET http://localhost:8080/api/v1/restaurants/no-es-uuid","500","SI","NO_EVITADO","12:23:55.072","0.011",
"6","Ruta inexistente","GET http://localhost:8080/api/v1/ruta-que-no-existe","403","NO","EVITADO","12:23:55.086","0.009",
"7","Acceso sin autenticacion","GET http://localhost:8080/api/v1/integration/restaurants","403","NO","EVITADO","12:23:55.097","0.007",
"8","Token corrupto","GET http://localhost:8080/api/v1/integration/restaurants","403","NO","EVITADO","12:23:55.129","0.098",
"9","Metodo HTTP no soportado","DELETE http://localhost:8080/api/v1/auth/login","500","SI","NO_EVITADO","12:23:55.229","0.008",
"10","Content-Type incorrecto","POST http://localhost:8080/api/v1/auth/login","500","SI","NO_EVITADO","12:23:55.240","0.011",
"11","Parametro fuera de rango","GET http://localhost:8080/api/v1/restaurants?page=-1&size=10","500","SI","NO_EVITADO","12:23:55.252","0.02",
"12","Cuerpo vacio requerido","POST http://localhost:8080/api/v1/auth/login","500","SI","NO_EVITADO","12:23:55.274","0.01",
